title,runtime
the-phantom-of-the-opera,96
cyrano-de-bergerac,103
in-which-we-serve,99
cause-for-alarm,64
things-to-come,82
the-most-dangerous-game,52
the-first-of-the-few,103
dick-tracy-vs-cueball,52
our-town,79
his-girl-friday,78
dr-mabuse-the-gambler-dr-mabuse-der-spieler-1922-part-1,92
gaslight,93
dick-tracy,51
the-devil-bat,58
49th-parallel,112
a-bucket-of-blood,55
america-1924-part-2-of-2-dw-griffith,70
blood-on-the-sun,83
a-study-in-scarlet,61
america-part-1-of-2,48
bluebeard,60
aelita-queen-of-mars,101
the-milky-way,77
carnival-of-souls,72
gullivers-travels,66
king-of-the-zombies,67
santa-claus-versus-the-devil,84
jail-bait,61
jackie-robinson-story-the,66
my-favorite-brunette,77
my-man-godfrey,83
superman-feature-length-animation,69
the-lost-world,58
angel-and-the-bad-man-the,89
rebecca,115
the-wasp-woman,63
white-zombie,56
svengali,71
sherlock-holmes-and-the-secret-weapon,58
the-city-of-the-dead,65
fiend-without-a-face,63
the-vampire-bat,52
i-bury-the-living,66
sally-of-the-sawdust,103
the-eagle,80
grandmas-boy,50
the-front-page,89
the-fighting-seabees,85
the-general,96
terror-by-night,49
the-little-princess,82
steamboat-bill-jr,59
little-lord-fauntleroy,90
jane-eyre,53
story-of-gi-joe,99
the-lodger-a-story-of-the-london-fog,60
metropolis-1925-shorter-version,85
the-black-pirate,72
wake-of-the-red-witch,92
ramrod,84
dick-tracy-meets-gruesome,55
i-married-a-witch,63
quicksand,68
that-hamilton-woman,109
santa-fe-trail,99
the-dawn-rider,45
tumbleweeds,69
dressed-to-kill,61
the-amazing-mr-x,68
night-train-to-munich,85
caesar-and-cleopatra,112
